pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
38527,XX,nse_fo,OPTIDX,NIFTY,NIFTY27DEC10000CE,CE,NIFTY28DEC2710000.00CE,,26000,,,,,,5,75,1514471400,-1,2,1000000.0,NSE,OPTIDX,1514471400,1435968000,1514471400,1435968000,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1514471400.0,1514471400.0,,,,1731375.0,Cash,,1,1,1801.0,75,0.0,1826220.0,1636530.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57344,XX,nse_fo,OPTIDX,NIFTY,NIFTY25D2331050CE,CE,NIFTY23DEC2531050.00CE,,26000,,,,,,5,75,1450967400,-1,2,3105000.0,NSE,OPTIDX,1450967400,1447977600,1450967400,1447977600,0,0,0,0,0,,0,0,1450888500,,,,,,,,,,FO,,,,,,,1450915200.0,1450967400.0,,,,5.0,Cash,,1,1,1801.0,75,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
47557,XX,nse_fo,OPTIDX,NIFTY,NIFTY2612024650CE,CE,NIFTY20JAN2624650.00CE,,26000,,,,,,5,65,1453386600,-1,2,2465000.0,NSE,OPTIDX,1453386600,1450396800,1453386600,1450396800,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1453334400.0,1453386600.0,,,,165925.0,Cash,,0,1,1801.0,65,0.0,220820.0,111030.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
47476,XX,nse_fo,OPTIDX,NIFTY,NIFTY2612023300PE,PE,NIFTY20JAN2623300.00PE,,26000,,,,,,5,65,1453386600,-1,2,2330000.0,NSE,OPTIDX,1453386600,1450396800,1453386600,1450396800,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1453334400.0,1453386600.0,,,,35.0,Cash,,1,1,1801.0,65,0.0,2035.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
47562,XX,nse_fo,OPTIDX,NIFTY,NIFTY2612024750PE,PE,NIFTY20JAN2624750.00PE,,26000,,,,,,5,65,1453386600,-1,2,2475000.0,NSE,OPTIDX,1453386600,1450396800,1453386600,1450396800,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1453334400.0,1453386600.0,,,,2770.0,Cash,,0,1,1801.0,65,65.0,6270.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58328,XX,nse_fo,OPTIDX,NIFTY,NIFTY26JAN20900PE,PE,NIFTY27JAN2620900.00PE,,26000,,,,,,5,65,1453991400,-1,2,2090000.0,NSE,OPTIDX,1453991400,1446163200,1453991400,1446163200,0,0,0,0,0,,0,0,1450888500,,,,,,,,,,FO,,,,,,,1453939200.0,1453991400.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58916,XX,nse_fo,OPTIDX,NIFTY,NIFTY26JAN28250PE,PE,NIFTY27JAN2628250.00PE,,26000,,,,,,5,65,1453991400,-1,2,2825000.0,NSE,OPTIDX,1453991400,1446163200,1453991400,1446163200,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1453939200.0,1453991400.0,,,,193880.0,Cash,,1,1,1801.0,65,0.0,248305.0,139455.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
46237,XX,nse_fo,OPTIDX,NIFTY,NIFTY2611327200CE,CE,NIFTY13JAN2627200.00CE,,26000,,,,,,5,65,1452781800,-1,2,2720000.0,NSE,OPTIDX,1452781800,1449792000,1452781800,1449792000,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1452729600.0,1452781800.0,,,,7475.0,Cash,,0,1,1801.0,65,0.0,16680.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
59384,XX,nse_fo,OPTIDX,NIFTY,NIFTY26JAN31000CE,CE,NIFTY27JAN2631000.00CE,,26000,,,,,,5,65,1453991400,-1,2,3100000.0,NSE,OPTIDX,1453991400,1446163200,1453991400,1446163200,0,0,0,0,0,,0,0,1450888500,,,,,,,,,,FO,,,,,,,1453939200.0,1453991400.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
39602,XX,nse_fo,OPTIDX,NIFTY,NIFTY26MAR9000PE,PE,NIFTY31MAR269000.00PE,,26000,,,,,,5,75,1459434600,-1,2,900000.0,NSE,OPTIDX,1459434600,1439337600,1459434600,1439337600,0,0,0,0,0,,0,0,1450888497,,,,,,,,,,FO,,,,,,,1459382400.0,1459434600.0,,,,5.0,Cash,,1,1,1801.0,75,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
